;date;Italy;US;Spain;Germany;Brazil
0;2020-01-22;0;1;0;0;0
1;2020-01-23;0;1;0;0;0
2;2020-01-24;0;2;0;0;0
3;2020-01-25;0;2;0;0;0
4;2020-01-26;0;5;0;0;0
5;2020-01-27;0;5;0;1;0
6;2020-01-28;0;5;0;4;0
7;2020-01-29;0;5;0;4;0
8;2020-01-30;0;5;0;4;0
9;2020-01-31;2;7;0;5;0
10;2020-02-01;2;8;1;8;0
11;2020-02-02;2;8;1;10;0
12;2020-02-03;2;11;1;12;0
13;2020-02-04;2;11;1;12;0
14;2020-02-05;2;11;1;12;0
15;2020-02-06;2;11;1;12;0
16;2020-02-07;3;11;1;13;0
17;2020-02-08;3;11;1;13;0
18;2020-02-09;3;11;2;14;0
19;2020-02-10;3;11;2;14;0
20;2020-02-11;3;12;2;16;0
21;2020-02-12;3;12;2;16;0
22;2020-02-13;3;13;2;16;0
23;2020-02-14;3;13;2;16;0
24;2020-02-15;3;13;2;16;0
25;2020-02-16;3;13;2;16;0
26;2020-02-17;3;13;2;16;0
27;2020-02-18;3;13;2;16;0
28;2020-02-19;3;13;2;16;0
29;2020-02-20;3;13;2;16;0
30;2020-02-21;20;15;2;16;0
31;2020-02-22;62;15;2;16;0
32;2020-02-23;155;15;2;16;0
33;2020-02-24;229;15;2;16;0
34;2020-02-25;322;15;6;17;0
35;2020-02-26;453;15;13;27;1
36;2020-02-27;655;16;15;46;1
37;2020-02-28;888;16;32;48;1
38;2020-02-29;1128;24;45;79;2
39;2020-03-01;1694;30;84;130;2
40;2020-03-02;2036;53;120;159;2
41;2020-03-03;2502;73;165;196;2
42;2020-03-04;3089;104;222;262;4
43;2020-03-05;3858;174;259;482;4
44;2020-03-06;4636;222;400;670;13
45;2020-03-07;5883;337;500;799;13
46;2020-03-08;7375;451;673;1040;20
47;2020-03-09;9172;519;1073;1176;25
48;2020-03-10;10149;711;1695;1457;31
49;2020-03-11;12462;1109;2277;1908;38
50;2020-03-12;15113;1561;2277;2078;52
51;2020-03-13;17660;2157;5232;3675;151
52;2020-03-14;21157;2870;6391;4585;151
53;2020-03-15;24747;2968;7798;5795;162
54;2020-03-16;27980;4360;9942;7272;200
55;2020-03-17;31506;6141;11748;9257;321
56;2020-03-18;35713;8917;13910;12327;372
57;2020-03-19;41035;14157;17963;15320;621
58;2020-03-20;47021;19479;20410;19848;793
59;2020-03-21;53578;25825;25374;22213;1021
60;2020-03-22;59138;33761;28768;24873;1546
61;2020-03-23;63927;43850;35136;29056;1924
62;2020-03-24;69176;54112;39885;32986;2247
63;2020-03-25;74386;66055;49515;37323;2554
64;2020-03-26;80589;84091;57786;43938;2985
65;2020-03-27;86498;102276;65719;50871;3417
66;2020-03-28;92472;122069;73235;57695;3904
67;2020-03-29;97689;141205;80110;62095;4256
68;2020-03-30;101739;162707;87956;66885;4579
69;2020-03-31;105792;188724;95923;71808;5717
70;2020-04-01;110574;214205;104118;77872;6836
71;2020-04-02;115242;244610;112065;84794;8044
72;2020-04-03;119827;276547;119199;91159;9056
73;2020-04-04;124632;309699;126168;96092;10360
74;2020-04-05;128948;337573;131646;100123;11130
75;2020-04-06;132547;367215;136675;103374;12161
76;2020-04-07;135586;397992;141942;107663;14034
77;2020-04-08;139422;429686;148220;113296;16170
78;2020-04-09;143626;464442;153222;118181;18092
79;2020-04-10;147577;497943;158273;122171;19638
80;2020-04-11;152271;527969;163027;124908;20727
81;2020-04-12;156363;556522;166831;127854;22192
82;2020-04-13;159516;581813;170099;130072;23430
83;2020-04-14;162488;608878;172541;131359;25262
84;2020-04-15;165155;637974;177644;134753;28320
85;2020-04-16;168941;669272;184948;137698;30425
86;2020-04-17;172434;701996;190839;141397;33682
87;2020-04-18;175925;730337;191726;143342;36658
88;2020-04-19;178972;756375;198674;145184;38654
89;2020-04-20;181228;783716;200210;147065;40743
90;2020-04-21;183957;809318;204178;148291;43079
91;2020-04-22;187327;837422;208389;150648;45757
92;2020-04-23;189973;871617;213024;153129;50036
93;2020-04-24;192994;907908;202990;154999;54043
94;2020-04-25;195351;940829;205905;156513;59324
95;2020-04-26;197675;968518;207634;157770;63100
96;2020-04-27;199414;990983;209465;158758;67446
97;2020-04-28;201505;1015518;210773;159912;73235
98;2020-04-29;203591;1043038;212917;161539;79685
99;2020-04-30;205463;1072667;213435;163009;87187
100;2020-05-01;207428;1106829;215216;164077;92202
101;2020-05-02;209328;1136024;216582;164967;97100
102;2020-05-03;210717;1161611;217466;165664;101826
103;2020-05-04;211938;1184086;218011;166152;108620
104;2020-05-05;213013;1208271;219329;167007;115455
105;2020-05-06;214457;1233527;220325;168162;126611
106;2020-05-07;215858;1261409;221447;169430;135773
107;2020-05-08;217185;1288587;222857;170588;146894
108;2020-05-09;218268;1314320;223578;171324;156061
109;2020-05-10;219070;1334084;224350;171879;162699
110;2020-05-11;219814;1352962;227436;172576;169594
111;2020-05-12;221216;1375152;228030;173171;178214
112;2020-05-13;222104;1396110;228691;174098;190137
113;2020-05-14;223096;1423727;229540;174478;203165
114;2020-05-15;223885;1449027;230183;175233;220291
115;2020-05-16;224760;1474128;230698;175752;233511
116;2020-05-17;225435;1493132;230698;176369;241080
117;2020-05-18;225886;1514901;231606;176551;255368
118;2020-05-19;226699;1535350;232037;177778;271885
119;2020-05-20;227364;1559157;232555;178473;291579
120;2020-05-21;228006;1584512;233037;179021;310087
121;2020-05-22;228658;1608653;234824;179710;330890
122;2020-05-23;229327;1630476;235290;179986;347398
123;2020-05-24;229858;1651289;235772;180328;363211
124;2020-05-25;230158;1670280;235400;180600;374898
125;2020-05-26;230555;1689163;236259;181200;391222
126;2020-05-27;231139;1707445;236259;181524;411821
127;2020-05-28;231732;1730260;237906;182196;438238
128;2020-05-29;232248;1754764;238564;182922;465166
129;2020-05-30;232664;1779214;239228;183189;498440
130;2020-05-31;232997;1799124;239479;183410;514849
131;2020-06-01;233197;1816479;239638;183594;526447
132;2020-06-02;233515;1837374;239932;183879;555383
133;2020-06-03;233836;1857332;240326;184121;584016
134;2020-06-04;234013;1878683;240660;184472;614941
135;2020-06-05;234531;1903907;240978;184924;645771
136;2020-06-06;234801;1926639;241310;185450;672846
137;2020-06-07;234998;1944370;241550;185750;691758
138;2020-06-08;235278;1961785;241717;186109;707412
139;2020-06-09;235561;1979912;241966;186506;739503
140;2020-06-10;235763;2000706;242280;186522;772416
141;2020-06-11;236142;2023656;242707;186691;802828
142;2020-06-12;236305;2048986;243209;187226;828810
143;2020-06-13;236651;2074542;243605;187267;850514
144;2020-06-14;236989;2094366;243928;187518;867624
145;2020-06-15;237290;2114026;244109;187682;888271
146;2020-06-16;237500;2137731;244328;188252;923189
147;2020-06-17;237828;2163290;244683;188604;955377
148;2020-06-18;238159;2191099;245268;189817;978142
149;2020-06-19;238011;2222579;245575;190299;1032913
